Experiment	bias spectroscopy	
Saved Date	23.09.2021 13:58:21	
User		
Date		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	882E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	1E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	23.09.2021 13:09:01	
Filter type	None	
Order		
Cutoff frq		
254.902E-3	-32.5000E-9	-22.1343E-9
262.745E-3	-33.0742E-9	-23.0061E-9
270.588E-3	-32.4234E-9	-21.8644E-9
278.431E-3	-32.6238E-9	-22.9752E-9
286.275E-3	-33.2729E-9	-22.1607E-9
294.118E-3	-32.6911E-9	-23.0332E-9
301.961E-3	-32.7041E-9	-21.7319E-9
309.804E-3	-31.8779E-9	-22.8802E-9
317.647E-3	-32.7353E-9	-21.6359E-9
325.490E-3	-32.7767E-9	-23.1414E-9
333.333E-3	-32.5382E-9	-22.1269E-9
341.177E-3	-32.5886E-9	-22.5816E-9
349.020E-3	-31.7285E-9	-22.5079E-9
356.863E-3	-31.8713E-9	-23.0617E-9
364.706E-3	-31.7323E-9	-23.1863E-9
372.549E-3	-32.7883E-9	-22.5244E-9
380.392E-3	-32.1296E-9	-22.8908E-9
388.235E-3	-31.5772E-9	-22.2613E-9
396.078E-3	-32.3967E-9	-23.0576E-9
403.922E-3	-31.2164E-9	-22.0692E-9
411.765E-3	-31.7811E-9	-22.7820E-9
419.608E-3	-30.8781E-9	-22.2579E-9
427.451E-3	-31.2689E-9	-22.9664E-9
435.294E-3	-30.5158E-9	-22.3527E-9
443.137E-3	-30.8235E-9	-22.7279E-9
450.980E-3	-31.1822E-9	-22.2222E-9
458.824E-3	-31.5819E-9	-22.9221E-9
466.667E-3	-31.1527E-9	-22.1439E-9
474.510E-3	-30.5602E-9	-23.0870E-9
482.353E-3	-30.8032E-9	-22.4456E-9
490.196E-3	-31.1054E-9	-23.2284E-9
498.039E-3	-30.7187E-9	-22.8851E-9
505.883E-3	-30.1808E-9	-23.0833E-9
513.726E-3	-31.0539E-9	-23.4290E-9
521.569E-3	-29.8360E-9	-22.8867E-9
529.412E-3	-30.8590E-9	-22.9082E-9
537.255E-3	-29.9937E-9	-22.7443E-9
545.098E-3	-30.7958E-9	-23.3687E-9
552.941E-3	-29.5328E-9	-22.3122E-9
560.784E-3	-30.2567E-9	-22.5562E-9
568.628E-3	-30.5086E-9	-22.4105E-9
576.471E-3	-30.2875E-9	-23.3520E-9
584.314E-3	-29.9841E-9	-22.4051E-9
592.157E-3	-29.6662E-9	-23.3402E-9
600.000E-3	-29.6630E-9	-23.3695E-9
607.843E-3	-30.0922E-9	-22.9081E-9
615.686E-3	-29.8581E-9	-22.9453E-9
623.530E-3	-29.5128E-9	-22.4322E-9
631.373E-3	-29.8476E-9	-23.4617E-9
639.216E-3	-29.9278E-9	-22.9242E-9
647.059E-3	-29.3330E-9	-23.6461E-9
654.902E-3	-29.1592E-9	-23.6476E-9
662.745E-3	-28.5392E-9	-22.8236E-9
670.588E-3	-29.9073E-9	-23.4391E-9
678.432E-3	-28.7806E-9	-23.2881E-9
686.275E-3	-29.4397E-9	-23.5152E-9
694.118E-3	-28.3579E-9	-23.4075E-9
701.961E-3	-29.1172E-9	-23.0589E-9
709.804E-3	-28.2284E-9	-23.7200E-9
717.647E-3	-28.8525E-9	-23.4522E-9
725.490E-3	-28.4257E-9	-23.5861E-9
733.333E-3	-28.8301E-9	-23.9586E-9
741.177E-3	-29.0686E-9	-22.9120E-9
749.020E-3	-28.2673E-9	-23.6173E-9
756.863E-3	-27.9833E-9	-23.2781E-9
764.706E-3	-28.5687E-9	-24.0065E-9
772.549E-3	-28.1440E-9	-23.8006E-9
780.392E-3	-28.0976E-9	-24.3804E-9
788.235E-3	-27.9564E-9	-24.2177E-9
796.079E-3	-27.9445E-9	-23.4991E-9
803.922E-3	-27.9916E-9	-24.1847E-9
811.765E-3	-27.3911E-9	-23.8056E-9
819.608E-3	-26.9886E-9	-24.6778E-9
827.451E-3	-27.3840E-9	-23.8415E-9
835.294E-3	-27.0701E-9	-24.5276E-9
843.137E-3	-27.1391E-9	-25.1394E-9
850.981E-3	-26.4024E-9	-24.7487E-9
858.824E-3	-27.0711E-9	-24.7071E-9
866.667E-3	-26.4239E-9	-23.9883E-9
874.510E-3	-26.5039E-9	-24.8778E-9
882.353E-3	-26.4084E-9	-23.8976E-9
890.196E-3	-26.8822E-9	-25.0281E-9
898.039E-3	-26.6746E-9	-25.2329E-9
905.882E-3	-25.4764E-9	-24.8923E-9
913.726E-3	-26.5417E-9	-24.5411E-9
921.569E-3	-25.4636E-9	-24.1812E-9
929.412E-3	-26.1759E-9	-25.2199E-9
937.255E-3	-26.2332E-9	-24.1340E-9
945.098E-3	-26.5291E-9	-25.3635E-9
952.941E-3	-26.1765E-9	-25.8267E-9
960.784E-3	-25.3360E-9	-24.6366E-9
968.628E-3	-26.1737E-9	-25.3556E-9
976.471E-3	-25.6479E-9	-25.3817E-9
984.314E-3	-25.5527E-9	-25.8181E-9
992.157E-3	-25.8285E-9	-25.2174E-9
1.00000E+0	-24.9670E-9	-24.8296E-9
