Experiment	History Data	
Saved Date		
User		
Sample Period (ms)	20	

[DATA]
Current (A)	Input 2 (V)	Input 3 (V)	Input 4 (V)	Input 5 (V)	Input 6 (V)	Input 7 (V)	Input 8 (V)	Bias (V)	Output 2 (V)	Output 3 (V)	Output 4 (V)	X (m)	Y (m)	Z (m)	Output 8 (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	OC D1 X (m)	OC D1 Y (m)	OC D2 Phase (deg)	OC D2 Amplitude (m)	Reserved  9  (V)	Reserved 10  (V)	OC D2 X (m)	OC D2 Y (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	LI Demod 2 X (A)	LI Demod 2 Y (A)	Reserved 17  (V)	Reserved 18  (V)	Reserved 19  (V)	Reserved 20  (V)	Reserved 21  (V)	Reserved 22  (V)	Internal 23 (V)	Internal 24 (V)	Z Control signal (Hz)	Z Error signal (Hz)	Z SafeTip signal (m)	Reserved 28  (V)	OC D3 Amplitude (m)	OC D3 Phase (deg)	OC D4 Amplitude (m)	OC D4 Phase (deg)
-1.51409E-13	2.47741E-3	-6.51425E-4	-7.92697E-3	3.28332E-3	3.10670E-3	-1.01632E-2	-7.28624E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	-1.04544E+1	1.18511E-11	0.00000E+0	5.76361E-2	-4.98669E-13	-1.99623E-12	-4.85535E+0	1.77591E-11	0.00000E+0	0.00000E+0	1.76600E-12	-9.38448E-13	7.89245E-17	1.08380E-14	1.59303E-14	2.72441E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.18511E-11	0.00000E+0	1.77580E-11	-7.06522E+0	1.77580E-11	-7.33050E+0
-1.67671E-13	2.47915E-3	-6.20259E-4	-7.90180E-3	3.28509E-3	3.09462E-3	-1.01625E-2	-7.30317E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	-6.79210E+0	1.25493E-11	0.00000E+0	5.76361E-2	-1.26916E-13	-1.60785E-12	8.05054E+0	1.82960E-11	0.00000E+0	0.00000E+0	1.50084E-12	-6.42277E-13	-1.50994E-14	-1.73066E-14	1.58124E-15	4.94952E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.25493E-11	0.00000E+0	1.82917E-11	7.09831E+0	1.82917E-11	6.83318E+0
-1.32631E-13	2.46832E-3	-6.32893E-4	-7.91909E-3	3.27955E-3	3.09807E-3	-1.01703E-2	-7.31692E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	1.14255E+1	1.01604E-11	0.00000E+0	5.76361E-2	1.19201E-13	6.18976E-13	-4.64213E+0	1.52235E-11	0.00000E+0	0.00000E+0	-6.70148E-13	2.42113E-13	-1.16803E-14	-5.22005E-15	-9.73411E-15	5.15871E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.01604E-11	0.00000E+0	1.52311E-11	-5.60464E+0	1.52311E-11	-5.86995E+0
-1.52202E-13	2.48995E-3	-6.46618E-4	-7.91393E-3	3.26367E-3	3.06852E-3	-1.01756E-2	-7.32203E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	9.33462E+0	1.35054E-11	0.00000E+0	5.76361E-2	2.24952E-12	1.40246E-12	1.55121E+1	1.83445E-11	0.00000E+0	0.00000E+0	-7.44178E-13	2.67609E-12	-2.57026E-15	-1.35778E-14	5.23697E-15	-1.04997E-14	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.35054E-11	0.00000E+0	1.83467E-11	1.72653E+1	1.83467E-11	1.70002E+1
-1.79885E-13	2.49171E-3	-6.45584E-4	-7.92905E-3	3.27558E-3	3.10202E-3	-1.01642E-2	-7.33028E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	2.00507E+1	1.08165E-11	0.00000E+0	5.76361E-2	1.87743E-12	1.38308E-12	6.01969E+0	1.72640E-11	0.00000E+0	0.00000E+0	-8.04160E-13	2.23665E-12	-3.60972E-14	-2.62193E-14	8.51184E-15	-4.39639E-16	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.08165E-11	0.00000E+0	1.72727E-11	6.55444E+0	1.72727E-11	6.28903E+0
-1.21110E-13	2.49075E-3	-6.61579E-4	-7.90698E-3	3.29706E-3	3.09310E-3	-1.01721E-2	-7.30986E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	6.60420E+0	1.25473E-11	0.00000E+0	5.76361E-2	-2.50307E-12	1.20515E-12	-8.19165E+0	1.79741E-11	0.00000E+0	0.00000E+0	-1.93327E-12	-2.19867E-12	1.10697E-14	2.11351E-14	-4.98990E-15	8.02112E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.25473E-11	0.00000E+0	1.79736E-11	-1.11384E+1	1.79737E-11	-1.14035E+1
-1.26355E-13	2.49352E-3	-6.60397E-4	-7.90507E-3	3.28334E-3	3.10016E-3	-1.01666E-2	-7.32204E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	9.35874E+0	1.15267E-11	0.00000E+0	5.76361E-2	8.98864E-14	1.84540E-12	2.85546E+0	1.68068E-11	0.00000E+0	0.00000E+0	-1.86114E-12	8.31040E-13	2.22635E-15	1.39628E-14	1.08173E-14	4.23393E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.15267E-11	0.00000E+0	1.68060E-11	2.63495E+0	1.68060E-11	2.36951E+0
-1.26516E-13	2.50131E-3	-6.72203E-4	-7.89127E-3	3.27052E-3	3.10409E-3	-1.01799E-2	-7.30031E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	1.46764E+1	1.05120E-11	0.00000E+0	5.76361E-2	-4.53820E-13	1.35882E-12	-3.53263E-1	1.65299E-11	0.00000E+0	0.00000E+0	-1.59328E-12	-8.22985E-14	5.77007E-15	4.06145E-15	1.90372E-16	9.81157E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.05120E-11	0.00000E+0	1.65376E-11	-1.87689E+0	1.65376E-11	-2.14233E+0
-9.17896E-14	2.48617E-3	-6.62941E-4	-7.88444E-3	3.27503E-3	3.08817E-3	-1.01968E-2	-7.30279E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	3.77935E+0	1.12644E-11	0.00000E+0	5.76361E-2	8.71869E-13	1.58661E-13	1.09901E+1	1.74318E-11	0.00000E+0	0.00000E+0	3.90924E-13	9.75261E-13	2.80046E-14	-4.21190E-15	-2.87686E-15	4.53419E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.12644E-11	0.00000E+0	1.74354E-11	1.13346E+1	1.74354E-11	1.19694E+1
-2.21339E-13	2.49073E-3	-6.74092E-4	-7.89949E-3	3.29399E-3	3.11986E-3	-1.01915E-2	-7.30553E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	-1.44957E+1	1.21748E-11	0.00000E+0	5.76361E-2	-7.84086E-13	-1.97719E-12	-5.00187E+0	1.79242E-11	0.00000E+0	0.00000E+0	1.34526E-12	-1.49318E-12	-1.93106E-14	-7.30637E-15	1.43421E-14	-1.30027E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.21748E-11	0.00000E+0	1.79186E-11	-4.80014E+0	1.79186E-11	-4.16533E+0
